ts,invest,money,buy,sell
1476662400,10000.000,14294.171,0.000,0.000
1476748800,10000.000,14462.461,0.000,0.000
1476835200,10000.000,14409.870,0.000,0.000
1476921600,10000.000,14409.870,0.000,0.000
1477008000,10000.000,14399.352,0.000,0.000
1477267200,10000.000,14471.928,0.000,0.000
1477353600,10000.000,14693.861,0.000,0.000
1477440000,10000.000,14767.488,0.000,0.000
1477526400,10000.000,14735.933,0.000,0.000
1477612800,10000.000,14714.897,0.000,0.000
1477872000,10000.000,14767.488,0.000,0.000
1477958400,10000.000,14883.187,0.000,0.000
1478044800,10000.000,14756.970,0.000,0.000
1478131200,10000.000,14778.006,0.000,0.000
1478217600,10000.000,14661.254,0.000,0.000
1478476800,10000.000,14640.218,0.000,0.000
1478563200,10000.000,14788.524,0.000,0.000
1478649600,10000.000,14693.861,0.000,0.000
1478736000,10000.000,14830.597,0.000,0.000
1478822400,10000.000,14767.488,0.000,0.000
1479081600,10000.000,14661.254,0.000,0.000
1479168000,10000.000,14767.488,0.000,0.000
1479254400,10000.000,14725.415,0.000,0.000
1479340800,10000.000,14767.488,0.000,0.000
1479427200,10000.000,14725.415,0.000,0.000
1479686400,10000.000,14746.451,0.000,0.000
1479772800,10000.000,14799.042,0.000,0.000
1479859200,10000.000,15009.405,0.000,0.000
1479945600,10000.000,15209.250,0.000,0.000
1480032000,10000.000,15303.914,0.000,0.000
1480291200,10000.000,15419.613,0.000,0.000
1480377600,10000.000,15735.158,0.000,0.000
1480464000,10000.000,15514.277,0.000,0.000
1480550400,10000.000,15724.640,0.000,0.000
1480636800,10000.000,15451.168,0.000,0.000
1480896000,10000.000,15125.105,0.000,0.000
1480982400,10000.000,15272.359,0.000,0.000
1481068800,10000.000,15303.914,0.000,0.000
1481155200,10000.000,15451.168,0.000,0.000
1481241600,10000.000,15514.277,0.000,0.000
1481500800,10000.000,15093.550,0.000,0.000
1481587200,10000.000,15209.250,0.000,0.000
1481673600,10000.000,15040.960,0.000,0.000
1481760000,10000.000,14820.078,0.000,0.000
1481846400,10000.000,14935.778,0.000,0.000
1482105600,10000.000,14914.742,0.000,0.000
