ts,invest,money,buy,sell
1403827200,10000.000,10973.616,0.000,0.000
1404086400,10000.000,10986.058,0.000,0.000
1404172800,10000.000,10923.849,0.000,10923.849
1404259200,10000.000,10923.849,0.000,0.000
1404345600,10000.000,10923.849,0.000,0.000
1404432000,10000.000,10923.849,0.000,0.000
1404691200,10000.000,10923.849,10923.849,0.000
1404777600,10000.000,11011.540,0.000,0.000
1404864000,10000.000,10898.794,0.000,0.000
1404950400,10000.000,10786.048,0.000,0.000
1405036800,10000.000,10886.267,0.000,0.000
1405296000,10000.000,11136.814,0.000,0.000
1405382400,10000.000,11199.451,0.000,0.000
1405468800,10000.000,11111.759,0.000,0.000
1405555200,10000.000,11036.595,0.000,0.000
1405641600,10000.000,11186.923,0.000,0.000
1405900800,10000.000,11224.505,0.000,0.000
1405987200,10000.000,11387.361,0.000,0.000
1406073600,10000.000,11312.197,0.000,0.000
1406160000,10000.000,11424.943,0.000,0.000
1406246400,10000.000,11525.162,0.000,0.000
1406505600,10000.000,11700.545,0.000,0.000
1406592000,10000.000,11725.599,0.000,0.000
1406678400,10000.000,11763.181,0.000,0.000
1406764800,10000.000,11900.982,0.000,0.000
1406851200,10000.000,11863.400,0.000,0.000
1407110400,10000.000,12038.783,0.000,0.000
1407196800,10000.000,12076.365,0.000,0.000
1407283200,10000.000,12038.783,0.000,0.000
1407369600,10000.000,11825.818,0.000,0.000
1407456000,10000.000,11888.455,0.000,0.000
1407715200,10000.000,12051.310,0.000,0.000
1407801600,10000.000,12026.256,0.000,0.000
1407888000,10000.000,12038.783,0.000,0.000
1407974400,10000.000,11976.146,0.000,0.000
1408060800,10000.000,12076.365,0.000,0.000
1408320000,10000.000,12113.947,0.000,0.000
1408406400,10000.000,12151.529,0.000,0.000
1408492800,10000.000,12126.474,0.000,0.000
1408579200,10000.000,12113.947,0.000,0.000
1408665600,10000.000,12201.639,0.000,0.000
1408924800,10000.000,12026.256,0.000,0.000
1409011200,10000.000,11913.509,0.000,0.000
1409097600,10000.000,11938.564,0.000,0.000
1409184000,10000.000,11875.927,0.000,0.000
1409270400,10000.000,12038.783,0.000,0.000
1409529600,10000.000,12226.693,0.000,0.000
1409616000,10000.000,12339.439,0.000,0.000
1409702400,10000.000,12439.658,0.000,0.000
1409788800,10000.000,12452.186,0.000,0.000
1409875200,10000.000,12563.679,0.000,0.000
1410220800,10000.000,12538.624,0.000,0.000
1410307200,10000.000,12477.240,0.000,0.000
1410393600,10000.000,12364.494,0.000,0.000
1410480000,10000.000,12389.549,0.000,0.000
1410739200,10000.000,12377.021,0.000,0.000
1410825600,10000.000,12013.728,0.000,0.000
1410912000,10000.000,12113.947,0.000,0.000
1410998400,10000.000,12189.111,0.000,0.000
1411084800,10000.000,12276.803,0.000,0.000
1411344000,10000.000,12051.310,0.000,0.000
1411430400,10000.000,12113.947,0.000,0.000
1411516800,10000.000,12264.275,0.000,0.000
1411603200,10000.000,12239.221,0.000,0.000
1411689600,10000.000,12251.748,0.000,0.000
1411948800,10000.000,12339.439,0.000,0.000
1412035200,10000.000,12314.385,0.000,0.000
1412726400,10000.000,12427.131,0.000,0.000
1412812800,10000.000,12489.768,0.000,0.000
1412899200,10000.000,12439.658,0.000,0.000
1413158400,10000.000,12314.385,0.000,0.000
1413244800,10000.000,12239.221,0.000,0.000
1413331200,10000.000,12239.221,0.000,0.000
1413417600,10000.000,12038.783,0.000,0.000
1413504000,10000.000,12126.474,0.000,0.000
