ts,invest,money,buy,sell
1439424000,10000.000,13570.000,0.000,0.000
1439510400,10000.000,13550.000,0.000,0.000
1439769600,10000.000,13610.000,0.000,0.000
1439856000,10000.000,12780.000,0.000,0.000
1439942400,10000.000,12990.000,0.000,0.000
1440028800,10000.000,12580.000,0.000,0.000
1440115200,10000.000,11990.000,0.000,0.000
1440374400,10000.000,11050.000,0.000,0.000
1440460800,10000.000,10680.000,0.000,0.000
1440547200,10000.000,10980.000,0.000,0.000
1440633600,10000.000,11520.000,0.000,0.000
1440720000,10000.000,11840.000,0.000,0.000
1440979200,10000.000,11690.000,0.000,0.000
1441065600,10000.000,11430.000,0.000,0.000
1441152000,10000.000,11510.000,0.000,0.000
1441584000,10000.000,11200.000,0.000,0.000
1441670400,10000.000,11470.000,0.000,0.000
1441756800,10000.000,11700.000,0.000,0.000
1441843200,10000.000,11590.000,0.000,0.000
1441929600,10000.000,11590.000,0.000,0.000
1442188800,10000.000,11259.000,0.000,0.000
1442275200,10000.000,10920.000,0.000,0.000
1442361600,10000.000,11510.000,0.000,0.000
1442448000,10000.000,11210.000,0.000,0.000
1442534400,10000.000,11270.000,0.000,0.000
1442793600,10000.000,11510.000,0.000,0.000
1442880000,10000.000,11550.000,0.000,0.000
1442966400,10000.000,11310.000,0.000,0.000
1443052800,10000.000,11390.000,0.000,0.000
1443139200,10000.000,11160.000,0.000,0.000
1443398400,10000.000,11250.000,0.000,0.000
1443484800,10000.000,11140.000,0.000,0.000
1443571200,10000.000,11279.000,0.000,0.000
1444262400,10000.000,11650.000,0.000,0.000
1444348800,10000.000,11710.000,0.000,0.000
1444608000,10000.000,12040.000,0.000,0.000
1444694400,10000.000,12080.000,0.000,0.000
1444780800,10000.000,11910.000,0.000,0.000
1444867200,10000.000,12130.000,0.000,0.000
1444953600,10000.000,12220.000,0.000,0.000
1445212800,10000.000,12310.000,0.000,0.000
1445299200,10000.000,12350.000,0.000,0.000
1445385600,10000.000,11800.000,0.000,0.000
1445472000,10000.000,12070.000,0.000,0.000
1445558400,10000.000,12340.000,0.000,0.000
1445817600,10000.000,12490.000,0.000,0.000
1445904000,10000.000,12490.000,0.000,0.000
1445990400,10000.000,12270.000,0.000,0.000
1446076800,10000.000,12420.000,0.000,0.000
1446163200,10000.000,12420.000,0.000,0.000
1446422400,10000.000,12310.000,0.000,0.000
1446508800,10000.000,12280.000,0.000,0.000
1446595200,10000.000,12760.000,0.000,0.000
1446681600,10000.000,12820.000,0.000,0.000
1446768000,10000.000,12970.000,0.000,0.000
1447027200,10000.000,13070.000,0.000,0.000
1447113600,10000.000,13030.000,0.000,0.000
1447200000,10000.000,13010.000,0.000,0.000
1447286400,10000.000,13010.000,0.000,0.000
1447372800,10000.000,12790.000,0.000,0.000
1447632000,10000.000,12810.000,0.000,0.000
1447718400,10000.000,12830.000,0.000,0.000
1447804800,10000.000,12720.000,0.000,0.000
1447891200,10000.000,12870.000,0.000,0.000
1447977600,10000.000,12820.000,0.000,0.000
1448236800,10000.000,12700.000,0.000,0.000
1448323200,10000.000,12750.000,0.000,0.000
1448409600,10000.000,12890.000,0.000,0.000
1448496000,10000.000,12860.000,0.000,0.000
1448582400,10000.000,12290.000,0.000,0.000
1448841600,10000.000,12350.000,0.000,0.000
1448928000,10000.000,12480.000,0.000,0.000
1449014400,10000.000,12800.000,0.000,0.000
1449100800,10000.000,12830.000,0.000,0.000
1449187200,10000.000,12750.000,0.000,0.000
1449446400,10000.000,12830.000,0.000,0.000
1449532800,10000.000,12509.000,0.000,0.000
1449619200,10000.000,12580.000,0.000,0.000
1449705600,10000.000,12540.000,0.000,0.000
1449792000,10000.000,12540.000,0.000,0.000
1450051200,10000.000,12740.000,0.000,0.000
1450137600,10000.000,12790.000,0.000,0.000
1450224000,10000.000,12730.000,0.000,0.000
1450310400,10000.000,12950.000,0.000,0.000
1450396800,10000.000,13050.000,0.000,0.000
1450656000,10000.000,13500.000,0.000,0.000
1450742400,10000.000,13600.000,0.000,0.000
1450828800,10000.000,13570.000,0.000,0.000
1450915200,10000.000,13440.000,0.000,0.000
1451001600,10000.000,13440.000,0.000,0.000
1451260800,10000.000,13150.000,0.000,0.000
1451347200,10000.000,13320.000,0.000,0.000
1451433600,10000.000,13300.000,0.000,0.000
1451520000,10000.000,13180.000,0.000,0.000
1451865600,10000.000,12330.000,0.000,0.000
1451952000,10000.000,12410.000,0.000,0.000
1452038400,10000.000,12560.000,0.000,0.000
1452124800,10000.000,11780.000,0.000,0.000
1452211200,10000.000,11970.000,0.000,0.000
1452470400,10000.000,11379.000,0.000,0.000
1452556800,10000.000,11459.000,0.000,0.000
1452643200,10000.000,11290.000,0.000,0.000
1452729600,10000.000,11550.000,0.000,0.000
1452816000,10000.000,11250.000,0.000,0.000
1453075200,10000.000,11319.000,0.000,0.000
1453161600,10000.000,11670.000,0.000,0.000
1453248000,10000.000,11439.000,0.000,0.000
1453334400,10000.000,11100.000,0.000,0.000
1453420800,10000.000,11210.000,0.000,0.000
1453680000,10000.000,11299.000,0.000,0.000
1453766400,10000.000,10810.000,0.000,0.000
1453852800,10000.000,10720.000,0.000,0.000
1453939200,10000.000,10490.000,0.000,0.000
1454025600,10000.000,10780.000,0.000,0.000
1454284800,10000.000,10790.000,0.000,0.000
1454371200,10000.000,11030.000,0.000,0.000
1454457600,10000.000,11030.000,0.000,0.000
1454544000,10000.000,11140.000,0.000,0.000
1454630400,10000.000,11060.000,0.000,0.000
1455494400,10000.000,10960.000,0.000,0.000
1455580800,10000.000,11230.000,0.000,0.000
1455667200,10000.000,11279.000,0.000,0.000
1455753600,10000.000,11220.000,0.000,0.000
1455840000,10000.000,11210.000,0.000,0.000
1456099200,10000.000,11439.000,0.000,0.000
1456185600,10000.000,11430.000,0.000,0.000
1456272000,10000.000,11430.000,0.000,0.000
1456358400,10000.000,10760.000,0.000,0.000
1456444800,10000.000,10840.000,0.000,0.000
1456704000,10000.000,10470.000,0.000,0.000
1456790400,10000.000,10680.000,0.000,0.000
1456876800,10000.000,11130.000,0.000,0.000
1456963200,10000.000,11170.000,0.000,0.000
1457049600,10000.000,11150.000,0.000,0.000
1457308800,10000.000,11240.000,0.000,0.000
1457395200,10000.000,11230.000,0.000,0.000
1457481600,10000.000,11110.000,0.000,0.000
1457568000,10000.000,11070.000,0.000,0.000
1457654400,10000.000,11050.000,0.000,0.000
